item_code,item,unit_number,date,cost
980999,NISSIN BEEF,1,2025-10-12,11.69
721083,MARS VTY 30C,1,2025-10-12,57.98
128783,STEAK BURRIT,1,2025-10-12,16.79
1636635,1% STRWBRRY,1,2025-10-12,15.99
941734,HAM/TURK 6PK,1,2025-10-12,35.96
1355725,NAE POT PIE,1,2025-10-12,12.99
4794,10OZ TREETOP,1,2025-10-12,17.49
1603928,DG WHOLE MLK,1,2025-10-12,15.99
1704516,PEPRONIPOCKT,1,2025-10-12,15.99
1094653,SALAME PLATE,1,2025-10-12,17.58
188140,FRITOLAY30CT,1,2025-10-12,18.99
1040925,COUGAR VRTY,1,2025-10-12,43.98
1529680,SKINNYPOPVAR,1,2025-10-12,15.99
1177923,STRWBRY PCKY,1,2025-10-12,7.99
1201906,CHICKEN BAKE,1,2025-10-12,115.92
1532586,CLIFBARS26CT,1,2025-10-12,22.99
1551422,BAREAPPLEVTY,1,2025-10-12,16.59
464292,YAKISOBA,1,2025-10-12,31.98
969786,PANDA COOKIE,1,2025-10-12,10.49
1816483,NABISCO,1,2025-10-12,13.69
1253912,MADELEINES,1,2025-10-12,34.76
724612,MONSTER ULT,1,2025-10-05,38.99
582542,CHOCLT POCKY,1,2025-10-05,7.99
290983,ITO EN TEA,1,2025-10-05,36.98
131453,CHKN CHIMI,1,2025-10-05,19.99
1040925,COUGAR VRTY,1,2025-10-05,21.99
1485984,FAIRLIFECHOC,1,2025-10-05,33.99
438842,CAPRI SUN,1,2025-10-05,10.99
1939979,CELSIUS VIBE,1,2025-10-05,23.99
980083,VIA COL.COFF,1,2025-10-05,15.99
1082839,FT CRNCH BAR,1,2025-10-05,18.99
965181,CLIF BUILDER,1,2025-10-05,22.49
1013100,GLDFSH 45CT,1,2025-10-05,12.99
1046098,VANILLA FRAP,1,2025-10-05,22.79
1328531,PALMER LITE,1,2025-10-05,12.79
1006641,ABF CHX MELT,1,2025-10-05,11.99
980999,NISSIN BEEF,1,2025-10-05,11.69
1816483,NABISCO,1,2025-10-05,13.69
1201906,CHICKEN BAKE,1,2025-10-05,57.96
294098,AZ GREEN TEA,1,2025-10-05,25.98
980978,CHICKEN CUP,1,2025-10-05,11.69
320888,HERSHEY 30CT,1,2025-10-05,53.58
1472712,DG CHOC MILK,1,2025-10-05,15.99
941734,HAM/TURK 6PK,1,2025-10-05,26.97
1177923,STRWBRY PCKY,1,2025-10-05,7.99
1377067,KS CHEWY PRO,1,2025-10-05,29.98
188140,FRITOLAY30CT,1,2025-10-05,18.99
1414377,SHINBIGBOWL,1,2025-10-05,17.99
1603928,DG WHOLE MLK,1,2025-10-05,15.99
1966529,CELSIUSENRGY,1,2025-10-05,23.99
1392351,ITO EN JASMN,1,2025-10-05,18.49
4165758,KS COLD BREW,1,2025-10-05,33.98
1532586,CLIFBARS26CT,1,2025-10-05,45.98
1862839,NURRICHOC,1,2025-10-05,19.99
264266,MOCHA FRAP,1,2025-10-05,22.79
846156,NV OAT HONEY,1,2025-10-05,14.99
1636635,1% STRWBRRY,1,2025-10-05,15.99
769196,JLVARIETY9CT,1,2025-10-05,16.99
242668,**RED BULL**,1,2025-10-05,38.99
1394201,KS COCO WATE,1,2025-10-05,23.98
128783,STEAK BURRIT,1,2025-10-05,16.79
1394201,KS COCO WATE,1,2025-09-28,23.98
319714,CHKN CORNDOG,1,2025-09-28,14.99
1587357,MUSCLMLK GEN,1,2025-09-28,24.99
64111,FATBOYS,1,2025-09-28,11.49
464292,YAKISOBA,1,2025-09-28,15.99
1355725,NAE POT PIE,1,2025-09-28,12.99
294098,AZ GREEN TEA,1,2025-09-28,38.97
438842,CAPRI SUN,1,2025-09-28,9.99
582542,CHOCLT POCKY,1,2025-09-28,31.96
941734,HAM/TURK 6PK,1,2025-09-28,26.97
1026583,SKINNYPOP 28,1,2025-09-28,13.99
724612,MONSTER ULT,1,2025-09-28,38.99
131453,CHKN CHIMI,1,2025-09-28,19.99
1939979,CELSIUS VIBE,1,2025-09-28,23.99
1532586,CLIFBARS26CT,1,2025-09-28,22.99
705876,MARSCHOCVRTY,1,2025-09-28,28.99
1778007,PHO BOWLS,1,2025-09-28,12.79
1177923,STRWBRY PCKY,1,2025-09-28,15.98
443298,EASY MAC CUP,1,2025-09-28,9.99
1414377,SHINBIGBOWL,1,2025-09-28,35.98
1797618,NONGSHIMSPCY,1,2025-09-28,19.99
1392351,ITO EN JASMN,1,2025-09-28,36.98
1374492,WELCH SNACKS,1,2025-09-28,13.99
320888,HERSHEY 30CT,1,2025-09-28,26.79
1392860,ITO EN GOLD,1,2025-09-28,18.49
188140,FRITOLAY30CT,1,2025-09-28,18.99
1377067,KS CHEWY PRO,1,2025-09-28,14.99
1746909,CHKN CARB,1,2025-09-28,12.89
1966529,CELSIUSENRGY,1,2025-09-28,47.98
1201906,CHICKEN BAKE,1,2025-09-28,86.94
1805143,DOLE PINEAPL,1,2025-11-04,16.99
1040925,COUGAR VRTY,1,2025-11-04,21.99
721083,MARS VTY 30C,1,2025-11-04,28.99
1013100,GLDFSH 45CT,1,2025-11-04,25.98
364934,V8 VEG.JUICE,1,2025-11-04,14.99
1618528,POPTARTBROWN,1,2025-11-04,10.49
705876,MARSCHOCVRTY,1,2025-11-04,28.99
1177923,STRWBRY PCKY,1,2025-11-04,31.96
1778007,PHO BOWLS,1,2025-11-04,25.58
1850863,KS FLV SPARK,1,2025-11-04,10.69
1855831,PB COUGAR,1,2025-11-04,21.99
290983,ITO EN TEA,1,2025-11-04,18.49
1414377,SHINBIGBOWL,1,2025-11-04,39.58
320888,HERSHEY 30CT,1,2025-11-04,26.79
941734,HAM/TURK 6PK,1,2025-11-04,26.97
1201906,CHICKEN BAKE,1,2025-11-04,30.78
9751,BROWNIE BITE,1,2025-11-04,13.98
1618514,POPTARTSTRAW,1,2025-11-04,10.49
1392351,ITO EN JASMN,1,2025-11-04,55.47
438851,CAPRI 100%,1,2025-11-04,27.98
582542,CHOCLT POCKY,1,2025-11-04,15.98
760485,MOTTS APPLE,1,2025-11-04,12.99
1026583,SKINNYPOP 28,1,2025-11-04,13.99
1253912,MADELEINES,1,2025-11-03,8.69
980978,CHICKEN CUP,1,2025-11-03,11.69
1778007,PHO BOWLS,1,2025-11-03,12.79
1797618,NONGSHIMSPCY,1,2025-11-03,19.99
128783,STEAK BURRIT,1,2025-11-03,33.58
1006641,ABF CHX MELT,1,2025-11-03,23.98
188140,FRITOLAY30CT,1,2025-11-03,18.99
721083,MARS VTY 30C,1,2025-11-03,28.99
9751,BROWNIE BITE,1,2025-11-03,6.99
705876,MARSCHOCVRTY,1,2025-11-03,28.99
128782,STEAK CHIMI,1,2025-11-03,33.38
1201906,CHICKEN BAKE,1,2025-11-03,123.12
1966529,CELSIUSENRGY,1,2025-11-03,95.96
1377067,KS CHEWY PRO,1,2025-11-03,59.96
1040925,COUGAR VRTY,1,2025-11-03,21.99
294098,AZ GREEN TEA,1,2025-11-03,38.97
1604368,COUGAR SNICK,1,2025-11-03,21.99
1485984,FAIRLIFECHOC,1,2025-10-19,101.97
131453,CHKN CHIMI,1,2025-10-19,19.99
1222508,KS CFN SNACK,1,2025-10-19,19.98
128783,STEAK BURRIT,1,2025-10-19,16.79
897971,KS APPLESAU,1,2025-10-19,10.79
1977678,GHOST ENERGY,1,2025-10-19,27.99
1841924,LA COLM VRTY,1,2025-10-19,18.99
364934,V8 VEG.JUICE,1,2025-10-19,14.99
1006641,ABF CHX MELT,1,2025-10-19,11.99
1636635,1% STRWBRRY,1,2025-10-19,15.99
4165758,KS COLD BREW,1,2025-10-19,33.98
1778007,PHO BOWLS,1,2025-10-19,25.58
1201906,CHICKEN BAKE,1,2025-10-19,138.51
1094653,SALAME PLATE,1,2025-10-19,17.58
941734,HAM/TURK 6PK,1,2025-10-19,17.98
1577750,SB PUMPKIN,1,2025-10-19,9.39
464292,YAKISOBA,1,2025-10-19,15.99
1618522,ENLIGHTEN,1,2025-10-19,47.98
1040925,COUGAR VRTY,1,2025-10-19,21.99
264266,MOCHA FRAP,1,2025-10-19,22.79
1618514,POPTARTSTRAW,1,2025-10-19,10.49
1046098,VANILLA FRAP,1,2025-10-19,22.79
1377067,KS CHEWY PRO,1,2025-10-19,29.98
1253912,MADELEINES,1,2025-10-19,26.07
30669,BANANAS,1,2025-10-19,7.96
128782,STEAK CHIMI,1,2025-10-19,16.69
9751,BROWNIE BITE,1,2025-10-19,20.97
1392351,ITO EN JASMN,1,2025-10-19,36.98
